model_name,CV_R2_mean,CV_R2_std,rho_mean,rho_std
Full (Level1+2+3),0.14517728491974854,0.048333205190734606,0.417281484123737,0.09719788025234886
Level 1 (Fv only),0.15152696446904973,0.07168980776587382,0.4211339309981358,0.04827911089641056
Level 2 (Chain-level),0.10295641011411631,0.054924554240023106,0.36181017308669167,0.13041315642492393
Level 3 (CDR-level),-0.02699590105889451,0.13086696986008087,0.22924181682488748,0.14554512122764526
